user_id,method,gt_size,history_size,seed_size,precision@5,recall@5,ndcg@5,map@5,precision@10,recall@10,ndcg@10,map@10
31723,cooccurrence,6,15,3,0.2,0.16666666666666666,0.3391602052736161,0.2,0.2,0.3333333333333333,0.3980628465882808,0.20833333333333334
31723,hybrid,6,15,3,0.2,0.16666666666666666,0.3391602052736161,0.2,0.2,0.3333333333333333,0.3980628465882808,0.20833333333333334
33053,popularity,4,67,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33053,cooccurrence,4,67,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33053,hybrid,4,67,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33196,popularity,9,96,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33196,cooccurrence,9,96,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33196,hybrid,9,96,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33965,popularity,5,99,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33965,cooccurrence,5,99,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33965,hybrid,5,99,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34191,popularity,7,53,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34191,cooccurrence,7,53,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34191,hybrid,7,53,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34360,popularity,3,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34360,cooccurrence,3,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34360,hybrid,3,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37582,popularity,5,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37582,cooccurrence,5,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37582,hybrid,5,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39015,popularity,29,138,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39015,cooccurrence,29,138,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39015,hybrid,29,138,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40050,popularity,9,10,3,0.0,0.0,0.0,0.0,0.1,0.1111111111111111,0.07414861528507455,0.013888888888888888
40050,cooccurrence,9,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40050,hybrid,9,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41168,popularity,18,97,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41168,cooccurrence,18,97,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41168,hybrid,18,97,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41458,popularity,7,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41458,cooccurrence,7,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41458,hybrid,7,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44218,popularity,8,47,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44218,cooccurrence,8,47,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44218,hybrid,8,47,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46796,popularity,5,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46796,cooccurrence,5,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46796,hybrid,5,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46841,popularity,25,41,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46841,cooccurrence,25,41,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46841,hybrid,25,41,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48293,popularity,9,28,7,0.0,0.0,0.0,0.0,0.1,0.1111111111111111,0.07834851647149511,0.015873015873015872
48293,cooccurrence,9,28,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48293,hybrid,9,28,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49282,popularity,4,43,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49282,cooccurrence,4,43,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49282,hybrid,4,43,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49391,popularity,4,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49391,cooccurrence,4,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49391,hybrid,4,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50617,popularity,13,60,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50617,cooccurrence,13,60,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50617,hybrid,13,60,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57090,popularity,4,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57090,cooccurrence,4,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57090,hybrid,4,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57091,popularity,20,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57091,cooccurrence,20,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57091,hybrid,20,31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57205,popularity,6,130,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57205,cooccurrence,6,130,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57205,hybrid,6,130,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58099,popularity,7,31,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58099,cooccurrence,7,31,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58099,hybrid,7,31,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59494,popularity,5,58,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59494,cooccurrence,5,58,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59494,hybrid,5,58,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60599,popularity,9,27,15,0.2,0.1111111111111111,0.21398626473452756,0.1,0.1,0.1111111111111111,0.1482972305701491,0.05555555555555555
60599,cooccurrence,9,27,15,0.2,0.1111111111111111,0.16958010263680806,0.06666666666666667,0.1,0.1111111111111111,0.11752277470724268,0.037037037037037035
60599,hybrid,9,27,15,0.2,0.1111111111111111,0.16958010263680806,0.06666666666666667,0.1,0.1111111111111111,0.11752277470724268,0.037037037037037035
62269,popularity,20,223,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62269,cooccurrence,20,223,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62269,hybrid,20,223,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62728,popularity,17,132,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62728,cooccurrence,17,132,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62728,hybrid,17,132,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64484,popularity,6,28,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64484,cooccurrence,6,28,10,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.10086747116627115,0.023809523809523808
64484,hybrid,6,28,10,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.10086747116627115,0.023809523809523808
66356,popularity,8,134,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66356,cooccurrence,8,134,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66356,hybrid,8,134,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67205,popularity,10,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67205,cooccurrence,10,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67205,hybrid,10,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68095,popularity,5,112,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68095,cooccurrence,5,112,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68095,hybrid,5,112,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68996,popularity,24,37,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68996,cooccurrence,24,37,13,0.2,0.041666666666666664,0.13120507751234178,0.04,0.1,0.041666666666666664,0.08514311764162098,0.02
68996,hybrid,24,37,13,0.0,0.0,0.0,0.0,0.1,0.041666666666666664,0.07839826897867533,0.016666666666666666
69999,popularity,23,75,5,0.2,0.043478260869565216,0.21398626473452756,0.1,0.1,0.043478260869565216,0.13886244387355454,0.05
69999,cooccurrence,23,75,5,0.2,0.043478260869565216,0.21398626473452756,0.1,0.1,0.043478260869565216,0.13886244387355454,0.05
69999,hybrid,23,75,5,0.2,0.043478260869565216,0.21398626473452756,0.1,0.1,0.043478260869565216,0.13886244387355454,0.05
70729,popularity,13,293,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70729,cooccurrence,13,293,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70729,hybrid,13,293,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71697,popularity,3,51,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71697,cooccurrence,3,51,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71697,hybrid,3,51,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73108,popularity,12,103,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73108,cooccurrence,12,103,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73108,hybrid,12,103,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74705,popularity,25,204,20,0.2,0.04,0.3391602052736161,0.2,0.1,0.04,0.22009176629808017,0.1
74705,cooccurrence,25,204,20,0.2,0.04,0.3391602052736161,0.2,0.1,0.04,0.22009176629808017,0.1
74705,hybrid,25,204,20,0.2,0.04,0.3391602052736161,0.2,0.1,0.04,0.22009176629808017,0.1
75059,popularity,2,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75059,cooccurrence,2,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75059,hybrid,2,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75634,popularity,1,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75634,cooccurrence,1,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75634,hybrid,1,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76417,popularity,5,38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76417,cooccurrence,5,38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76417,hybrid,5,38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76464,popularity,1,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76464,cooccurrence,1,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
